country,application_group,n_accepted,n_accepted_with_conditions,n_compatible,n_rejected,n_unclear,n_total_records,cell_text,status,status_value,cluster_value,country_order,cluster_label_raw
France,Food-soiled paper / fibre packaging,0,0,0,1,0,1,0/1,Rejected-dominant,2,0.0,6,2.0
France,Shopping/produce bags,0,0,0,0,0,0,—,No application-level record,0,,6,2.0
France,Flexible films/wraps/pouches,0,0,0,0,0,0,—,No application-level record,0,,6,2.0
France,Generic compostable packaging / plastics,0,0,0,2,0,2,0/2,Rejected-dominant,2,0.0,6,2.0
Germany,Food-waste liners / collection bags,0,0,0,2,0,2,0/2,Rejected-dominant,2,0.0,4,1.0
Germany,Food-service ware / takeaway packaging,0,0,0,0,0,0,—,No application-level record,0,,4,1.0
Germany,Tea/coffee preparation items,0,0,0,1,0,1,0/1,Rejected-dominant,2,0.0,4,1.0
Germany,Food-soiled paper / fibre packaging,0,0,0,0,0,0,—,No application-level record,0,,4,1.0
Germany,Shopping/produce bags,0,0,0,0,0,0,—,No application-level record,0,,4,1.0
Germany,Flexible films/wraps/pouches,0,0,0,0,0,0,—,No application-level record,0,,4,1.0
Germany,Generic compostable packaging / plastics,0,0,0,3,0,3,0/3,Rejected-dominant,2,0.0,4,1.0
Greece,Food-waste liners / collection bags,1,0,1,1,0,2,1/1,Balanced conflict,4,0.5,27,3.0
Greece,Food-service ware / takeaway packaging,0,0,0,0,0,0,—,No application-level record,0,,27,3.0
Greece,Tea/coffee preparation items,0,0,0,1,0,1,0/1,Rejected-dominant,2,0.0,27,3.0
Greece,Food-soiled paper / fibre packaging,0,0,0,0,0,0,—,No application-level record,0,,27,3.0
Greece,Shopping/produce bags,0,0,0,0,0,0,—,No application-level record,0,,27,3.0
Greece,Flexible films/wraps/pouches,0,0,0,1,0,1,0/1,Rejected-dominant,2,0.0,27,3.0
Greece,Generic compostable packaging / plastics,0,0,0,2,0,2,0/2,Rejected-dominant,2,0.0,27,3.0
Hungary,Food-waste liners / collection bags,0,0,0,0,0,0,—,No application-level record,0,,33,
Hungary,Food-service ware / takeaway packaging,0,0,0,0,0,0,—,No application-level record,0,,33,
Hungary,Tea/coffee preparation items,0,0,0,0,0,0,—,No application-level record,0,,33,
Hungary,Food-soiled paper / fibre packaging,0,0,0,0,0,0,—,No application-level record,0,,33,
Hungary,Shopping/produce bags,0,0,0,0,0,0,—,No application-level record,0,,33,
Hungary,Flexible films/wraps/pouches,0,0,0,0,0,0,—,No application-level record,0,,33,
Hungary,Generic compostable packaging / plastics,0,0,0,0,0,0,—,No application-level record,0,,33,
Iceland,Food-waste liners / collection bags,0,0,0,1,0,1,0/1,Rejected-dominant,2,0.0,5,1.0
Iceland,Food-service ware / takeaway packaging,0,0,0,0,0,0,—,No application-level record,0,,5,1.0
Iceland,Tea/coffee preparation items,0,0,0,2,0,2,0/2,Rejected-dominant,2,0.0,5,1.0
Iceland,Food-soiled paper / fibre packaging,0,0,0,1,0,1,0/1,Rejected-dominant,2,0.0,5,1.0
Iceland,Shopping/produce bags,0,0,0,0,0,0,—,No application-level record,0,,5,1.0
Iceland,Flexible films/wraps/pouches,0,0,0,1,0,1,0/1,Rejected-dominant,2,0.0,5,1.0
Iceland,Generic compostable packaging / plastics,0,0,0,1,0,1,0/1,Rejected-dominant,2,0.0,5,1.0
Ireland,Food-waste liners / collection bags,1,0,1,1,0,2,1/1,Balanced conflict,4,0.5,1,4.0
Ireland,Food-service ware / takeaway packaging,1,0,1,0,0,1,1/0,Compatible-dominant,3,1.0,1,4.0
Ireland,Tea/coffee preparation items,1,0,1,0,0,1,1/0,Compatible-dominant,3,1.0,1,4.0
Ireland,Food-soiled paper / fibre packaging,1,0,1,0,0,1,1/0,Compatible-dominant,3,1.0,1,4.0
Ireland,Shopping/produce bags,0,0,0,0,0,0,—,No application-level record,0,,1,4.0
Ireland,Flexible films/wraps/pouches,0,0,0,0,0,0,—,No application-level record,0,,1,4.0
Ireland,Generic compostable packaging / plastics,2,0,2,1,0,3,2/1,Compatible-dominant,3,0.6666666666666666,1,4.0
Israel,Food-waste liners / collection bags,0,0,0,0,0,0,—,No application-level record,0,,34,
Israel,Food-service ware / takeaway packaging,0,0,0,0,0,0,—,No application-level record,0,,34,
Israel,Tea/coffee preparation items,0,0,0,0,0,0,—,No application-level record,0,,34,
Israel,Food-soiled paper / fibre packaging,0,0,0,0,0,0,—,No application-level record,0,,34,
Israel,Shopping/produce bags,0,0,0,0,0,0,—,No application-level record,0,,34,
Israel,Flexible films/wraps/pouches,0,0,0,0,0,0,—,No application-level record,0,,34,
Israel,Generic compostable packaging / plastics,0,0,0,0,0,0,—,No application-level record,0,,34,
Italy,Food-waste liners / collection bags,1,0,1,1,0,2,1/1,Balanced conflict,4,0.5,19,3.0
Italy,Food-service ware / takeaway packaging,2,0,2,4,0,6,2/4,Rejected-dominant,2,0.3333333333333333,19,3.0
Italy,Tea/coffee preparation items,0,0,0,0,0,0,—,No application-level record,0,,19,3.0
Italy,Food-soiled paper / fibre packaging,0,0,0,0,0,0,—,No application-level record,0,,19,3.0
Italy,Shopping/produce bags,2,0,2,1,1,4,2/1,Compatible-dominant,3,0.6666666666666666,19,3.0
Italy,Flexible films/wraps/pouches,0,0,0,3,0,3,0/3,Rejected-dominant,2,0.0,19,3.0
